minecraft:stone,stone,1
minecraft:granite,granite,1:1
minecraft:polished_granite,polished_granite,1:2
minecraft:diorite,diorite,1:3
minecraft:polished_diorite,polished_diorite,1:4
minecraft:andesite,andesite,1:5
minecraft:polished_andesite,polished_andesite,1:6
minecraft:grass_block,grass_block,2
minecraft:dirt,dirt,3
minecraft:coarse_dirt,coarse_dirt,3:1
minecraft:podzol,podzol,3:2
minecraft:cobblestone,cobblestone,4
minecraft:oak_planks,oak_planks,5
minecraft:spruce_planks,spruce_planks,5:1
minecraft:birch_planks,birch_planks,5:2
minecraft:jungle_planks,jungle_planks,5:3
minecraft:acacia_planks,acacia_planks,5:4
minecraft:spruce_sapling,spruce_sapling,6:1
minecraft:birch_sapling,birch_sapling,6:2
minecraft:jungle_sapling,jungle_sapling,6:3
minecraft:acacia_sapling,acacia_sapling,6:4
minecraft:dark_oak_sapling,dark_oak_sapling,6:5
minecraft:bedrock,bedrock,7
minecraft:sand,sand,12
minecraft:red_sand,red_sand,12:1
minecraft:gravel,gravel,13
minecraft:gold_ore,gold_ore,14
minecraft:iron_ore,iron_ore,15
minecraft:coal_ore,coal_ore,16
minecraft:oak_log,oak_log,17
minecraft:spruce_log,spruce_log,17:1
minecraft:birch_log,birch_log,17:2
minecraft:jungle_log,jungle_log,17:3
minecraft:oak_leaves,oak_leaves,18
minecraft:spruce_leaves,spruce_leaves,18:1
minecraft:birch_leaves,birch_leaves,18:2
minecraft:jungle_leaves,jungle_leaves,18:3
minecraft:sponge,sponge,19
minecraft:wet_sponge,wet_sponge,19:1
minecraft:glass,glass,20
minecraft:lapis_ore,lapis_ore,21
minecraft:lapis_block,lapis_block,22
minecraft:dispenser,dispenser,23
minecraft:sandstone,sandstone,24
minecraft:chiseled_sandstone,chiseled_sandstone,24:1
minecraft:smooth_sandstone,smooth_sandstone,24:2
minecraft:note_block,note_block,25
minecraft:powered_rail,powered_rail,27
minecraft:detector_rail,detector_rail,28
minecraft:sticky_piston,sticky_piston,29
minecraft:cobweb,cobweb,30
minecraft:tall_grass,tall_grass,31:1
minecraft:bush,bush,31:2
minecraft:dead_bush,dead_bush,32
minecraft:piston,piston,33
minecraft:white_wool,white_wool,35
minecraft:orange_wool,orange_wool,35:1
minecraft:magenta_wool,magenta_wool,35:2
minecraft:light_blue_wool,light_blue_wool,35:3
minecraft:yellow_wool,yellow_wool,35:4
minecraft:lime_wool,lime_wool,35:5
minecraft:pink_wool,pink_wool,35:6
minecraft:gray_wool,gray_wool,35:7
minecraft:light_gray_wool,light_gray_wool,35:8
minecraft:cyan_wool,cyan_wool,35:9
minecraft:purple_wool,purple_wool,35:10
minecraft:blue_wool,blue_wool,35:11
minecraft:brown_wool,brown_wool,35:12
minecraft:green_wool,green_wool,35:13
minecraft:red_wool,red_wool,35:14
minecraft:black_wool,black_wool,35:15
minecraft:dandelion,dandelion,37
minecraft:poppy,poppy,38
minecraft:blue_orchid,blue_orchid,38:1
minecraft:allium,allium,38:2
minecraft:azure_bluet,azure_bluet,38:3
minecraft:red_tulip,red_tulip,38:4
minecraft:orange_tulip,orange_tulip,38:5
minecraft:white_tulip,white_tulip,38:6
minecraft:pink_tulip,pink_tulip,38:7
minecraft:oxeye_daisy,oxeye_daisy,38:8
minecraft:brown_mushroom,brown_mushroom,39
minecraft:red_mushroom,red_mushroom,40
minecraft:gold_block,gold_block,41
minecraft:iron_block,iron_block,42
minecraft:smooth_stone_slab,smooth_stone_slab,44
minecraft:sandstone_slab,sandstone_slab,44:1
minecraft:cobblestone_slab,cobblestone_slab,44:3
minecraft:brick_slab,brick_slab,44:4
minecraft:stone_brick_slab,stone_brick_slab,44:5
minecraft:nether_brick_slab,nether_brick_slab,44:6
minecraft:quartz_slab,quartz_slab,44:7
minecraft:bricks,bricks,45
minecraft:tnt,tnt,46
minecraft:bookshelf,bookshelf,47
minecraft:mossy_cobblestone,mossy_cobblestone,48
minecraft:obsidian,obsidian,49
minecraft:torch,torch,50
minecraft:spawner,spawner,52
minecraft:oak_stairs,oak_stairs,53
minecraft:chest,chest,54
minecraft:diamond_ore,diamond_ore,56
minecraft:diamond_block,diamond_block,57
minecraft:crafting_table,crafting_table,58
minecraft:furnace,furnace,61
minecraft:ladder,ladder,65
minecraft:rail,rail,66
minecraft:cobblestone_stairs,cobblestone_stairs,67
minecraft:lever,lever,69
minecraft:stone_pressure_plate,stone_pressure_plate,70
minecraft:oak_pressure_plate,oak_pressure_plate,72
minecraft:redstone_ore,redstone_ore,73
minecraft:redstone_torch,redstone_torch,76
minecraft:stone_button,stone_button,77
minecraft:ice,ice,79
minecraft:snow_block,snow_block,80
minecraft:cactus,cactus,81
minecraft:clay,clay,82
minecraft:jukebox,jukebox,84
minecraft:oak_fence,oak_fence,85
minecraft:pumpkin,pumpkin,86
minecraft:netherrack,netherrack,87
minecraft:mud,mud,88
minecraft:glowstone,glowstone,89
minecraft:jack_o_lantern,jack_o_lantern,91
minecraft:white_stained_glass,white_stained_glass,95
minecraft:orange_stained_glass,orange_stained_glass,95:1
minecraft:magenta_stained_glass,magenta_stained_glass,95:2
minecraft:light_blue_stained_glass,light_blue_stained_glass,95:3
minecraft:yellow_stained_glass,yellow_stained_glass,95:4
minecraft:lime_stained_glass,lime_stained_glass,95:5
minecraft:pink_stained_glass,pink_stained_glass,95:6
minecraft:gray_stained_glass,gray_stained_glass,95:7
minecraft:light_gray_stained_glass,light_gray_stained_glass,95:8
minecraft:cyan_stained_glass,cyan_stained_glass,95:9
minecraft:purple_stained_glass,purple_stained_glass,95:10
minecraft:blue_stained_glass,blue_stained_glass,95:11
minecraft:brown_stained_glass,brown_stained_glass,95:12
minecraft:green_stained_glass,green_stained_glass,95:13
minecraft:red_stained_glass,red_stained_glass,95:14
minecraft:black_stained_glass,black_stained_glass,95:15
minecraft:stone_bricks,stone_bricks,98
minecraft:mossy_stone_bricks,mossy_stone_bricks,98:1
minecraft:cracked_stone_bricks,cracked_stone_bricks,98:2
minecraft:iron_bars,iron_bars,101
minecraft:glass_pane,glass_pane,102
minecraft:melon,melon,103
minecraft:vine,vine,106
minecraft:oak_fence_gate,oak_fence_gate,107
minecraft:brick_stairs,brick_stairs,108
minecraft:stone_brick_stairs,stone_brick_stairs,109
minecraft:mycelium,mycelium,110
minecraft:lily_pad,lily_pad,111
minecraft:nether_brick_fence,nether_brick_fence,113
minecraft:nether_brick_stairs,nether_brick_stairs,114
minecraft:enchanting_table,enchanting_table,116
minecraft:end_portal_frame,end_portal_frame,120
minecraft:end_stone,end_stone,121
minecraft:dragon_egg,dragon_egg,122
minecraft:redstone_lamp,redstone_lamp,123
minecraft:oak_slab,oak_slab,126
minecraft:spruce_slab,spruce_slab,126:1
minecraft:birch_slab,birch_slab,126:2
minecraft:jungle_slab,jungle_slab,126:3
minecraft:acacia_slab,acacia_slab,126:4
minecraft:dark_oak_slab,dark_oak_slab,126:5
minecraft:sandstone_stairs,sandstone_stairs,128
minecraft:emerald_ore,emerald_ore,129
minecraft:ender_chest,ender_chest,130
minecraft:tripwire_hook,tripwire_hook,131
minecraft:emerald_block,emerald_block,133
minecraft:spruce_stairs,spruce_stairs,134
minecraft:birch_stairs,birch_stairs,135
minecraft:jungle_stairs,jungle_stairs,136
minecraft:command_block,command_block,137
minecraft:beacon,beacon,138
minecraft:cobblestone_wall,cobblestone_wall,139
minecraft:anvil,anvil,145
minecraft:damaged_anvil,damaged_anvil,145:1
minecraft:trapped_chest,trapped_chest,146
minecraft:light_weighted_pressure_plate,light_weighted_pressure_plate,147
minecraft:heavy_weighted_pressure_plate,heavy_weighted_pressure_plate,148
minecraft:redstone_block,redstone_block,152
minecraft:nether_quartz_ore,nether_quartz_ore,153
minecraft:hopper,hopper,154
minecraft:quartz_block,quartz_block,155
minecraft:chiseled_quartz_block,chiseled_quartz_block,155:1
minecraft:quartz_stairs,quartz_stairs,156
minecraft:activator_rail,activator_rail,157
minecraft:dropper,dropper,158
minecraft:terracotta,terracotta,159
minecraft:orange_terracotta,orange_terracotta,159:1
minecraft:magenta_terracotta,magenta_terracotta,159:2
minecraft:light_blue_terracotta,light_blue_terracotta,159:3
minecraft:yellow_terracotta,yellow_terracotta,159:4
minecraft:lime_terracotta,lime_terracotta,159:5
minecraft:pink_terracotta,pink_terracotta,159:6
minecraft:gray_terracotta,gray_terracotta,159:7
minecraft:light_gray_terracotta,light_gray_terracotta,159:8
minecraft:cyan_terracotta,cyan_terracotta,159:9
minecraft:purple_terracotta,purple_terracotta,159:10
minecraft:blue_terracotta,blue_terracotta,159:11
minecraft:brown_terracotta,brown_terracotta,159:12
minecraft:green_terracotta,green_terracotta,159:13
minecraft:red_terracotta,red_terracotta,159:14
minecraft:black_terracotta,black_terracotta,159:15
minecraft:white_stained_glass_pane,white_stained_glass_pane,160
minecraft:orange_stained_glass_pane,orange_stained_glass_pane,160:1
minecraft:magenta_stained_glass_pane,magenta_stained_glass_pane,160:2
minecraft:light_blue_stained_glass_pane,light_blue_stained_glass_pane,160:3
minecraft:yellow_stained_glass_pane,yellow_stained_glass_pane,160:4
minecraft:lime_stained_glass_pane,lime_stained_glass_pane,160:5
minecraft:pink_stained_glass_pane,pink_stained_glass_pane,160:6
minecraft:gray_stained_glass_pane,gray_stained_glass_pane,160:7
minecraft:light_gray_stained_glass_pane,light_gray_stained_glass_pane,160:8
minecraft:cyan_stained_glass_pane,cyan_stained_glass_pane,160:9
minecraft:purple_stained_glass_pane,purple_stained_glass_pane,160:10
minecraft:blue_stained_glass_pane,blue_stained_glass_pane,160:11
minecraft:brown_stained_glass_pane,brown_stained_glass_pane,160:12
minecraft:green_stained_glass_pane,green_stained_glass_pane,160:13
minecraft:red_stained_glass_pane,red_stained_glass_pane,160:14
minecraft:black_stained_glass_pane,black_stained_glass_pane,160:15
minecraft:acacia_leaves,acacia_leaves,161
minecraft:dark_oak_leaves,dark_oak_leaves,161:1
minecraft:acacia_log,acacia_log,162
minecraft:dark_oak_log,dark_oak_log,162:1
minecraft:acacia_stairs,acacia_stairs,163
